<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.09.01	19:45:00	45599.6	45602.6	45588.1	45592.6	261	0	20
2025.09.02	01:00:00	45561.8	45585.8	45560.3	45579.8	82	0	34
2025.09.02	01:15:00	45580.3	45592.6	45563.8	45563.8	172	0	34
2025.09.02	01:30:00	45563.8	45569.1	45559.3	45561.8	162	0	34
2025.09.02	01:45:00	45561.8	45566.1	45521.8	45528.8	290	0	34
2025.09.02	02:00:00	45531.6	45535.8	45514.1	45526.6	345	0	34
2025.09.02	02:15:00	45526.1	45528.8	45491.8	45509.6	479	0	34
2025.09.02	02:30:00	45509.3	45517.8	45498.8	45509.3	356	0	34
2025.09.02	02:45:00	45508.6	45524.1	45505.8	45519.6	433	0	34
2025.09.02	03:00:00	45520.6	45535.8	45510.8	45533.1	697	0	34
2025.09.02	03:15:00	45531.8	45544.6	45518.3	45525.3	642	0	34
2025.09.02	03:30:00	45525.1	45541.6	45524.3	45538.8	511	0	34
2025.09.02	03:45:00	45538.6	45554.3	45537.6	45546.3	487	0	34
2025.09.02	04:00:00	45546.3	45557.6	45545.6	45553.1	370	0	34
2025.09.02	04:15:00	45552.8	45555.3	45547.3	45554.3	405	0	34
2025.09.02	04:30:00	45552.8	45573.6	45552.8	45565.6	493	0	34
2025.09.02	04:45:00	45565.6	45577.6	45531.3	45531.3	493	0	34
2025.09.02	05:00:00	45533.3	45543.3	45522.6	45528.3	626	0	34
2025.09.02	05:15:00	45527.3	45528.3	45503.3	45518.8	647	0	34
2025.09.02	05:30:00	45518.8	45519.3	45493.3	45498.6	484	0	34
2025.09.02	05:45:00	45499.8	45518.6	45495.1	45515.3	441	0	34
2025.09.02	06:00:00	45514.8	45518.6	45502.8	45512.3	466	0	34
2025.09.02	06:15:00	45511.8	45526.3	45511.1	45522.3	353	0	34
2025.09.02	06:30:00	45522.8	45532.1	45516.3	45529.3	306	0	34
2025.09.02	06:45:00	45529.3	45543.3	45529.3	45537.3	227	0	34
2025.09.02	07:00:00	45537.3	45544.6	45531.3	45538.6	294	0	34
2025.09.02	07:15:00	45538.8	45552.3	45538.8	45549.6	213	0	34
2025.09.02	07:30:00	45549.6	45550.3	45526.3	45540.3	338	0	34
2025.09.02	07:45:00	45540.3	45552.3	45540.3	45545.3	249	0	34
2025.09.02	08:00:00	45545.3	45548.3	45504.1	45510.3	671	0	34
2025.09.02	08:15:00	45510.1	45525.1	45505.8	45525.1	528	0	34
2025.09.02	08:30:00	45525.1	45527.8	45496.3	45503.8	534	0	34
2025.09.02	08:45:00	45502.8	45530.3	45496.8	45497.3	493	0	34
2025.09.02	09:00:00	45497.6	45530.0	45491.3	45518.2	749	0	26
2025.09.02	09:15:00	45517.7	45525.2	45500.5	45506.2	586	0	26
2025.09.02	09:30:00	45506.2	45531.2	45503.7	45528.7	554	0	26
2025.09.02	09:45:00	45528.5	45538.7	45518.7	45526.2	465	0	26
2025.09.02	10:00:00	45527.7	45528.5	45413.7	45417.7	1650	0	26
2025.09.02	10:15:00	45416.2	45453.7	45393.7	45440.2	1768	0	26
2025.09.02	10:30:00	45441.2	45446.7	45353.7	45353.7	1740	0	26
2025.09.02	10:45:00	45353.2	45374.7	45241.7	45257.2	2385	0	26
2025.09.02	11:00:00	45263.7	45320.2	45247.7	45315.7	2053	0	26
2025.09.02	11:15:00	45315.7	45370.2	45312.0	45354.2	1365	0	26
2025.09.02	11:30:00	45354.2	45392.0	45334.0	45383.7	1072	0	26
2025.09.02	11:45:00	45383.7	45391.7	45364.7	45374.0	880	0	26
2025.09.02	12:00:00	45373.7	45383.5	45352.7	45356.7	889	0	26
2025.09.02	12:15:00	45355.7	45383.0	45353.7	45375.2	721	0	26
2025.09.02	12:30:00	45374.2	45392.7	45368.2	45377.2	711	0	26
2025.09.02	12:45:00	45376.2	45382.2	45353.2	45367.7	746	0	26
2025.09.02	13:00:00	45367.7	45380.7	45356.0	45362.7	721	0	26
2025.09.02	13:15:00	45363.7	45371.5	45302.7	45308.2	938	0	26
2025.09.02	13:30:00	45305.7	45320.2	45257.0	45294.7	1382	0	26
2025.09.02	13:45:00	45294.2	45302.7	45267.7	45287.7	1112	0	26
2025.09.02	14:00:00	45290.7	45294.7	45270.7	45286.0	1127	0	26
2025.09.02	14:15:00	45285.5	45308.7	45280.0	45291.7	982	0	26
2025.09.02	14:30:00	45291.5	45302.5	45281.2	45282.7	827	0	26
2025.09.02	14:45:00	45282.7	45296.7	45277.7	45285.2	825	0	26
2025.09.02	15:00:00	45281.7	45282.5	45228.7	45238.7	1493	0	26
2025.09.02	15:15:00	45238.7	45249.7	45201.7	45204.7	1403	0	26
2025.09.02	15:30:00	45204.7	45219.7	45149.2	45166.7	1371	0	26
2025.09.02	15:45:00	45166.5	45167.7	45059.5	45105.7	1790	0	26
2025.09.02	16:00:00	45105.7	45152.7	45089.2	45151.7	1950	0	26
2025.09.02	16:15:00	45152.0	45162.2	45126.7	45135.0	1577	0	26
2025.09.02	16:30:00	45134.7	45152.7	44964.0	45038.3	3429	0	20
2025.09.02	16:45:00	45026.5	45225.0	44948.5	45217.5	3074	0	20
2025.09.02	17:00:00	45215.0	45294.0	45215.0	45256.0	3253	0	20
2025.09.02	17:15:00	45252.0	45267.0	45157.0	45249.3	2948	0	20
2025.09.02	17:30:00	45249.8	45290.0	45189.8	45209.0	2821	0	20
2025.09.02	17:45:00	45207.3	45228.0	45138.8	45171.0	2795	0	20
2025.09.02	18:00:00	45170.3	45186.0	45102.0	45121.0	2599	0	20
2025.09.02	18:15:00	45120.0	45129.8	45066.3	45096.0	2386	0	20
2025.09.02	18:30:00	45095.8	45096.0	45013.0	45026.0	2142	0	20
2025.09.02	18:45:00	45027.5	45048.0	44997.0	45007.0	2042	0	20
2025.09.02	19:00:00	45004.0	45033.0	44987.5	45030.5	2016	0	20
2025.09.02	19:15:00	45030.0	45064.0	45017.5	45026.0	1686	0	20
2025.09.02	19:30:00	45026.0	45085.5	45016.8	45065.8	1758	0	20
2025.09.02	19:45:00	45065.3	45113.0	45030.0	45113.0	1847	0	20
2025.09.02	20:00:00	45114.0	45148.5	45107.3	45118.0	1746	0	20
2025.09.02	20:15:00	45118.8	45171.0	45110.0	45153.8	1620	0	20
2025.09.02	20:30:00	45153.0	45239.8	45151.0	45232.3	1770	0	20
2025.09.02	20:45:00	45232.0	45248.0	45209.0	45210.8	1699	0	20
2025.09.02	21:00:00	45209.0	45245.0	45164.8	45178.8	1922	0	20
2025.09.02	21:15:00	45180.0	45183.3	45140.0	45145.0	1720	0	20
2025.09.02	21:30:00	45145.0	45166.0	45108.5	45118.0	1744	0	20
2025.09.02	21:45:00	45116.0	45209.8	45106.5	45150.0	2149	0	20
2025.09.02	22:00:00	45151.5	45196.0	45151.5	45194.8	1837	0	20
2025.09.02	22:15:00	45193.0	45234.0	45186.8	45223.0	1648	0	20
2025.09.02	22:30:00	45221.0	45277.0	45213.0	45263.0	1600	0	20
2025.09.02	22:45:00	45261.0	45309.0	45245.0	45301.5	2160	0	20
2025.09.02	23:00:00	45299.5	45340.3	45288.8	45319.6	1659	0	20
2025.09.02	23:15:00	45320.6	45327.6	45270.3	45276.1	1420	0	34
2025.09.02	23:30:00	45276.3	45280.3	45261.1	45272.3	692	0	34
2025.09.02	23:45:00	45272.3	45275.3	45253.3	45258.3	511	0	34
2025.09.03	01:00:00	45273.6	45288.6	45255.1	45269.6	683	0	34
2025.09.03	01:15:00	45269.6	45285.6	45261.6	45265.6	496	0	34
2025.09.03	01:30:00	45265.6	45283.3	45259.6	45264.3	464	0	34
2025.09.03	01:45:00	45264.6	45271.1	45229.1	45236.1	469	0	34
2025.09.03	02:00:00	45236.6	45239.8	45226.1	45230.1	345	0	34
2025.09.03	02:15:00	45232.6	45236.6	45216.1	45231.1	267	0	34
2025.09.03	02:30:00	45231.1	45236.6	45217.8	45218.6	280	0	34
2025.09.03	02:45:00	45218.6	45225.1	45213.8	45218.1	373	0	34
2025.09.03	03:00:00	45216.1	45219.1	45206.1	45217.1	582	0	34
2025.09.03	03:15:00	45216.6	45221.8	45200.8	45201.8	435	0	34
2025.09.03	03:30:00	45202.1	45217.1	45193.1	45214.1	423	0	34
