<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.09.19	12:15:00	12663.1	12670.5	12632.7	12635.7	557	0	9
2022.09.19	12:30:00	12635.7	12635.7	12609.3	12610.8	593	0	9
2022.09.19	12:45:00	12610.8	12634.9	12609.3	12629.5	513	0	9
2022.09.19	13:00:00	12629.5	12629.5	12603.1	12613.4	539	0	9
2022.09.19	13:15:00	12612.9	12635.7	12606.2	12633.8	452	0	9
2022.09.19	13:30:00	12633.3	12650.1	12625.0	12643.2	450	0	9
2022.09.19	13:45:00	12642.7	12658.2	12641.7	12650.4	422	0	9
2022.09.19	14:00:00	12650.9	12691.7	12650.9	12686.2	526	0	9
2022.09.19	14:15:00	12686.2	12701.1	12664.3	12664.8	497	0	9
2022.09.19	14:30:00	12664.8	12681.7	12659.7	12661.2	433	0	9
2022.09.19	14:45:00	12661.2	12672.8	12653.0	12657.1	436	0	9
2022.09.19	15:00:00	12657.6	12694.6	12655.1	12686.3	627	0	9
2022.09.19	15:15:00	12686.3	12702.2	12677.1	12698.2	600	0	9
2022.09.19	15:30:00	12697.7	12711.9	12683.5	12700.1	636	0	9
2022.09.19	15:45:00	12700.1	12716.7	12693.9	12693.9	526	0	9
2022.09.19	16:00:00	12693.9	12705.3	12691.9	12696.9	517	0	9
2022.09.19	16:15:00	12697.4	12697.4	12667.6	12670.1	591	0	9
2022.09.19	16:30:00	12670.1	12746.0	12669.1	12740.0	1694	0	9
2022.09.19	16:45:00	12739.5	12771.5	12737.5	12752.7	1280	0	9
2022.09.19	17:00:00	12751.2	12777.2	12726.4	12765.2	1258	0	9
2022.09.19	17:15:00	12765.7	12787.8	12745.7	12786.8	1266	0	9
2022.09.19	17:30:00	12786.3	12838.8	12775.6	12833.4	1477	0	9
2022.09.19	17:45:00	12833.9	12856.6	12832.9	12840.0	1293	0	9
2022.09.19	18:00:00	12839.0	12866.4	12835.5	12851.6	1561	0	9
2022.09.19	18:15:00	12852.1	12868.5	12820.1	12823.6	1477	0	9
2022.09.19	18:30:00	12822.6	12822.8	12789.9	12794.9	1328	0	9
2022.09.19	18:45:00	12795.4	12808.9	12792.4	12793.4	967	0	15
2022.09.19	19:00:00	12792.4	12807.9	12778.4	12802.9	1160	0	15
2022.09.19	19:15:00	12802.4	12816.9	12795.9	12805.4	1158	0	15
2022.09.19	19:30:00	12805.4	12835.3	12804.4	12834.8	1134	0	15
2022.09.19	19:45:00	12834.3	12844.3	12820.3	12837.8	809	0	15
2022.09.19	20:00:00	12838.3	12840.8	12821.9	12826.3	808	0	15
2022.09.19	20:15:00	12825.8	12844.8	12819.9	12844.3	811	0	15
2022.09.19	20:30:00	12844.8	12844.8	12812.9	12824.4	922	0	15
2022.09.19	20:45:00	12823.9	12838.8	12821.9	12825.9	785	0	15
2022.09.19	21:00:00	12826.4	12830.3	12815.9	12818.4	955	0	15
2022.09.19	21:15:00	12819.4	12831.8	12809.4	12816.9	947	0	15
2022.09.19	21:30:00	12817.4	12833.8	12817.4	12822.4	994	0	15
2022.09.19	21:45:00	12822.4	12839.3	12817.4	12839.3	902	0	15
2022.09.19	22:00:00	12839.8	12874.3	12838.3	12870.8	1089	0	15
2022.09.19	22:15:00	12871.3	12873.8	12852.8	12863.8	1078	0	15
2022.09.19	22:30:00	12864.8	12874.3	12862.3	12867.3	1147	0	15
2022.09.19	22:45:00	12866.3	12870.8	12855.3	12870.3	1151	0	15
2022.09.19	23:00:00	12866.6	12894.5	12865.0	12869.1	577	0	72
2022.09.19	23:15:00	12869.5	12870.7	12860.1	12869.9	202	0	72
2022.09.19	23:30:00	12869.1	12886.3	12867.5	12884.7	193	0	72
2022.09.19	23:45:00	12885.1	12887.2	12880.2	12881.4	154	0	72
2022.09.20	01:00:00	12881.4	12888.9	12878.1	12887.2	224	0	72
2022.09.20	01:15:00	12888.0	12903.7	12886.4	12893.0	217	0	72
2022.09.20	01:30:00	12893.8	12896.3	12890.5	12894.2	115	0	72
2022.09.20	01:45:00	12894.6	12897.9	12889.7	12891.4	84	0	72
2022.09.20	02:00:00	12891.8	12893.0	12888.1	12890.5	139	0	72
2022.09.20	02:15:00	12892.2	12896.3	12890.5	12896.3	156	0	72
2022.09.20	02:30:00	12897.1	12908.6	12897.1	12899.2	281	0	72
2022.09.20	02:45:00	12899.6	12914.0	12897.9	12914.0	452	0	72
2022.09.20	03:15:00	12895.4	12919.2	12895.4	12906.7	165	0	37
2022.09.20	03:30:00	12907.2	12908.7	12890.2	12890.2	176	0	37
2022.09.20	03:45:00	12889.7	12893.7	12881.7	12889.2	174	0	37
2022.09.20	04:00:00	12888.7	12890.2	12878.2	12880.7	157	0	37
2022.09.20	04:15:00	12879.7	12882.2	12869.3	12878.2	207	0	37
2022.09.20	04:30:00	12877.2	12882.7	12863.3	12870.3	260	0	37
2022.09.20	04:45:00	12870.3	12887.7	12865.3	12882.2	214	0	37
2022.09.20	05:00:00	12881.7	12889.2	12877.2	12886.2	141	0	37
2022.09.20	05:15:00	12886.7	12892.2	12885.2	12889.2	119	0	37
2022.09.20	05:30:00	12888.7	12891.2	12882.2	12883.2	115	0	37
2022.09.20	05:45:00	12884.2	12894.2	12880.2	12892.2	120	0	37
2022.09.20	06:00:00	12892.7	12893.2	12883.7	12888.2	115	0	37
