<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.05.08	11:15:00	2022.09	2022.29	2020.46	2021.49	1071	0	6
2023.05.08	11:30:00	2021.49	2022.69	2021.20	2021.95	808	0	5
2023.05.08	11:45:00	2021.95	2023.03	2021.73	2022.49	942	0	5
2023.05.08	12:00:00	2022.48	2023.25	2022.23	2023.01	795	0	6
2023.05.08	12:15:00	2023.04	2023.28	2022.05	2023.21	745	0	5
2023.05.08	12:30:00	2023.23	2024.27	2022.26	2022.64	866	0	6
2023.05.08	12:45:00	2022.66	2023.41	2022.34	2022.64	678	0	7
2023.05.08	13:00:00	2022.59	2025.06	2022.44	2024.59	944	0	6
2023.05.08	13:15:00	2024.65	2024.70	2022.77	2022.91	848	0	8
2023.05.08	13:30:00	2022.88	2023.99	2022.80	2023.33	746	0	7
2023.05.08	13:45:00	2023.31	2024.32	2023.26	2024.12	771	0	6
2023.05.08	14:00:00	2024.09	2025.41	2023.35	2023.41	999	0	6
2023.05.08	14:15:00	2023.41	2025.22	2023.41	2024.90	889	0	7
2023.05.08	14:30:00	2024.88	2025.23	2023.97	2024.20	1059	0	5
2023.05.08	14:45:00	2024.21	2024.28	2021.50	2022.25	1339	0	5
2023.05.08	15:00:00	2022.25	2023.35	2021.81	2023.05	1468	0	6
2023.05.08	15:15:00	2023.07	2025.35	2022.55	2023.93	2327	0	5
2023.05.08	15:30:00	2023.95	2025.94	2022.18	2025.79	1955	0	5
2023.05.08	15:45:00	2025.79	2026.95	2025.58	2026.05	1684	0	5
2023.05.08	16:00:00	2026.11	2026.77	2021.97	2022.54	2457	0	5
2023.05.08	16:15:00	2022.54	2022.95	2021.56	2021.71	1611	0	5
2023.05.08	16:30:00	2021.68	2022.94	2017.85	2020.93	3112	0	5
2023.05.08	16:45:00	2020.94	2025.05	2020.93	2024.87	3132	0	5
2023.05.08	17:00:00	2024.90	2025.27	2023.01	2024.63	2722	0	6
2023.05.08	17:15:00	2024.66	2025.11	2022.89	2024.37	2283	0	5
2023.05.08	17:30:00	2024.35	2025.08	2023.38	2024.58	2143	0	5
2023.05.08	17:45:00	2024.59	2026.58	2023.83	2024.99	2039	0	5
2023.05.08	18:00:00	2024.96	2024.98	2022.84	2023.24	1981	0	6
2023.05.08	18:15:00	2023.26	2028.07	2023.10	2026.95	2009	0	5
2023.05.08	18:30:00	2026.94	2029.31	2026.18	2028.57	1952	0	5
2023.05.08	18:45:00	2028.57	2028.85	2026.11	2027.14	1634	0	5
2023.05.08	19:00:00	2027.15	2028.82	2027.07	2028.81	1428	0	5
2023.05.08	19:15:00	2028.80	2029.34	2026.88	2026.97	1434	0	5
2023.05.08	19:30:00	2026.98	2027.91	2026.28	2027.80	1030	0	6
2023.05.08	19:45:00	2027.81	2028.32	2026.76	2027.08	1087	0	5
2023.05.08	20:00:00	2027.05	2027.92	2026.68	2026.87	874	0	5
2023.05.08	20:15:00	2026.85	2027.17	2025.38	2025.44	961	0	5
2023.05.08	20:30:00	2025.44	2025.56	2024.07	2024.12	1007	0	5
2023.05.08	20:45:00	2024.10	2024.24	2022.90	2023.86	1078	0	5
2023.05.08	21:00:00	2023.83	2023.86	2020.73	2021.70	1695	0	5
2023.05.08	21:15:00	2021.72	2022.70	2021.11	2022.48	930	0	5
2023.05.08	21:30:00	2022.34	2022.51	2020.65	2021.14	820	0	5
2023.05.08	21:45:00	2021.18	2022.14	2020.50	2021.51	740	0	5
2023.05.08	22:00:00	2021.52	2022.00	2020.87	2021.85	736	0	7
2023.05.08	22:15:00	2021.86	2022.25	2021.46	2022.03	746	0	8
2023.05.08	22:30:00	2021.98	2022.44	2021.33	2021.70	866	0	7
2023.05.08	22:45:00	2021.70	2022.17	2020.23	2020.34	1284	0	6
2023.05.08	23:00:00	2020.39	2021.27	2020.16	2021.20	575	0	5
2023.05.08	23:15:00	2021.14	2021.25	2020.59	2020.68	382	0	9
2023.05.08	23:30:00	2020.68	2021.11	2020.52	2020.97	310	0	10
2023.05.08	23:45:00	2020.90	2021.51	2020.90	2021.33	397	0	5
2023.05.09	01:00:00	2020.73	2022.05	2020.60	2022.05	373	0	13
2023.05.09	01:15:00	2022.05	2022.05	2020.82	2021.06	272	0	19
2023.05.09	01:30:00	2021.01	2021.94	2020.71	2021.61	271	0	7
2023.05.09	01:45:00	2021.61	2022.39	2021.39	2022.10	336	0	22
2023.05.09	02:00:00	2022.12	2022.12	2020.44	2021.51	367	0	17
2023.05.09	02:15:00	2021.48	2021.48	2020.13	2020.61	256	0	26
2023.05.09	02:30:00	2020.63	2021.58	2020.40	2021.55	337	0	28
2023.05.09	02:45:00	2021.57	2021.61	2021.07	2021.23	297	0	27
2023.05.09	03:00:00	2021.19	2021.30	2019.59	2019.75	699	0	24
2023.05.09	03:15:00	2019.75	2020.89	2019.59	2020.10	660	0	20
2023.05.09	03:30:00	2020.08	2020.60	2019.51	2019.72	520	0	12
2023.05.09	03:45:00	2019.72	2020.51	2019.56	2020.07	517	0	10
2023.05.09	04:00:00	2020.07	2021.96	2019.79	2021.84	816	0	15
2023.05.09	04:15:00	2021.89	2024.51	2021.60	2023.32	942	0	8
2023.05.09	04:30:00	2023.32	2024.22	2022.09	2022.32	1082	0	6
2023.05.09	04:45:00	2022.32	2023.82	2021.52	2022.73	1088	0	13
2023.05.09	05:00:00	2022.76	2022.97	2021.88	2022.52	602	0	13
2023.05.09	05:15:00	2022.52	2023.87	2022.36	2023.66	550	0	13
2023.05.09	05:30:00	2023.65	2023.93	2022.91	2023.54	660	0	12
2023.05.09	05:45:00	2023.54	2024.21	2023.30	2023.71	536	0	10
2023.05.09	06:00:00	2023.75	2024.02	2022.27	2022.50	803	0	8
2023.05.09	06:15:00	2022.53	2023.02	2021.96	2022.81	511	0	8
2023.05.09	06:30:00	2022.81	2024.07	2022.79	2024.01	546	0	11
2023.05.09	06:45:00	2024.02	2024.92	2023.97	2024.84	613	0	15
2023.05.09	07:00:00	2024.87	2025.52	2024.69	2025.08	550	0	9
2023.05.09	07:15:00	2025.08	2026.06	2024.63	2025.54	535	0	5
2023.05.09	07:30:00	2025.63	2026.61	2025.35	2025.67	697	0	8
2023.05.09	07:45:00	2025.71	2026.78	2025.11	2025.61	545	0	8
2023.05.09	08:00:00	2025.61	2026.66	2025.31	2026.62	547	0	6
2023.05.09	08:15:00	2026.65	2028.51	2026.65	2028.19	651	0	5
2023.05.09	08:30:00	2028.19	2028.72	2026.43	2026.53	1118	0	6
2023.05.09	08:45:00	2026.52	2026.73	2025.32	2025.99	867	0	8
2023.05.09	09:00:00	2026.15	2027.47	2025.74	2026.59	970	0	6
2023.05.09	09:15:00	2026.59	2027.74	2026.23	2026.57	968	0	11
2023.05.09	09:30:00	2026.57	2027.44	2023.91	2024.22	1099	0	6
2023.05.09	09:45:00	2024.22	2025.17	2023.66	2024.08	1126	0	6
2023.05.09	10:00:00	2024.12	2024.51	2021.89	2022.47	1549	0	7
2023.05.09	10:15:00	2022.48	2023.46	2021.62	2022.83	1135	0	5
2023.05.09	10:30:00	2022.80	2024.05	2021.78	2024.00	1274	0	5
2023.05.09	10:45:00	2024.00	2025.67	2023.77	2024.67	1140	0	5
2023.05.09	11:00:00	2024.65	2025.30	2024.06	2024.21	894	0	5
2023.05.09	11:15:00	2024.21	2024.42	2021.40	2022.14	1201	0	6
2023.05.09	11:30:00	2022.10	2026.07	2022.07	2025.75	1223	0	6
2023.05.09	11:45:00	2025.74	2026.09	2024.89	2025.27	1128	0	5
2023.05.09	12:00:00	2025.46	2026.30	2024.76	2026.30	1099	0	6
2023.05.09	12:15:00	2026.27	2026.91	2025.75	2026.16	1120	0	5
2023.05.09	12:30:00	2026.17	2028.08	2025.32	2027.93	1111	0	5
2023.05.09	12:45:00	2027.93	2028.37	2027.48	2028.27	961	0	5
2023.05.09	13:00:00	2028.24	2029.23	2027.95	2028.33	1072	0	5
2023.05.09	13:15:00	2028.33	2030.87	2028.11	2029.44	1147	0	5
2023.05.09	13:30:00	2029.44	2030.07	2028.90	2029.47	925	0	6
2023.05.09	13:45:00	2029.47	2031.10	2029.38	2030.82	882	0	5
2023.05.09	14:00:00	2030.82	2032.38	2030.76	2032.05	1357	0	7
2023.05.09	14:15:00	2032.05	2032.43	2031.32	2032.27	1164	0	5
2023.05.09	14:30:00	2032.35	2032.79	2031.02	2031.89	1279	0	5
2023.05.09	14:45:00	2031.92	2032.26	2030.52	2030.95	1249	0	5
2023.05.09	15:00:00	2031.00	2032.08	2030.72	2031.03	1474	0	5
2023.05.09	15:15:00	2031.08	2031.58	2028.75	2029.47	2143	0	5
2023.05.09	15:30:00	2029.47	2030.15	2027.13	2027.59	2068	0	5
2023.05.09	15:45:00	2027.62	2028.78	2026.62	2026.89	1700	0	5
2023.05.09	16:00:00	2027.11	2027.11	2022.91	2024.47	2416	0	5
2023.05.09	16:15:00	2024.49	2026.37	2024.35	2024.67	1862	0	5
2023.05.09	16:30:00	2024.66	2027.97	2024.29	2027.40	2750	0	5
2023.05.09	16:45:00	2027.38	2030.50	2027.02	2030.29	2819	0	5
2023.05.09	17:00:00	2030.27	2030.38	2027.96	2028.32	2407	0	5
2023.05.09	17:15:00	2028.30	2028.95	2025.81	2027.08	2267	0	5
2023.05.09	17:30:00	2027.09	2028.52	2025.96	2027.45	2166	0	6
2023.05.09	17:45:00	2027.45	2028.01	2025.57	2026.05	1951	0	5
2023.05.09	18:00:00	2025.98	2026.58	2025.10	2025.84	1772	0	6
2023.05.09	18:15:00	2025.84	2025.90	2024.45	2025.85	1592	0	6
2023.05.09	18:30:00	2025.86	2026.64	2024.37	2026.56	1560	0	5
2023.05.09	18:45:00	2026.56	2027.64	2026.32	2026.90	1445	0	5
2023.05.09	19:00:00	2026.90	2030.78	2026.81	2030.73	1472	0	5
2023.05.09	19:15:00	2030.75	2032.59	2030.43	2031.55	1986	0	5
2023.05.09	19:30:00	2031.52	2032.13	2029.43	2029.71	1466	0	5
2023.05.09	19:45:00	2029.71	2030.97	2029.18	2030.97	1269	0	6
2023.05.09	20:00:00	2030.98	2034.35	2030.66	2034.35	1868	0	5
